country,director,genres,language,stars,time,title,url,when,writer
USA,Jaume Collet-Serra,"Action,Adventure,Comedy",English,"Dwayne Johnson,Emily Blunt,Edgar Ramírez",,"Jungle Cruise,",https://www.imdb.com/title/tt0870154/,30 July 2021 (USA),"Glenn Ficarra,John Requa"
"Canada,Hungary,USA",Denis Villeneuve,"Adventure,Drama,Sci-Fi",English,"Zendaya,Rebecca Ferguson,Oscar Isaac",,"Dune,",https://www.imdb.com/title/tt1160419/,1 October 2021 (USA),"Frank Herbert,Jon Spaihts"
"UK,USA",Cary Joji Fukunaga,"Action,Adventure,Thriller",English,"Daniel Craig,Ana de Armas,Rami Malek",163 min,"No Time to Die,",https://www.imdb.com/title/tt2382320/,8 October 2021 (USA),"Neal Purvis,Robert Wade"
"UK,USA",Edgar Wright,"Drama,Horror,Thriller",English,"Anya Taylor-Joy,Thomasin McKenzie,Matt Smith",,"Last Night in Soho,",https://www.imdb.com/title/tt9639470/,22 October 2021 (USA),"Krysty Wilson-Cairns,Edgar Wright"
"USA,Canada",Robert Schwentke,"Action,Adventure,Fantasy",English,"Samara Weaving,Úrsula Corberó,Henry Golding",,"Snake Eyes: G.I. Joe Origins,",https://www.imdb.com/title/tt8404256/,22 October 2021 (USA),Evan Spiliotopoulos
USA,Chris McKay,"Action,Adventure,Sci-Fi",,"Yvonne Strahovski,Chris Pratt,Betty Gilpin",,"The Tomorrow War,",https://www.imdb.com/title/tt9777666/,23 July 2021 (USA),Zach Dean
"Ireland,Canada,USA",David Lowery,"Drama,Fantasy,Horror",English,"Dev Patel,Alicia Vikander,Joel Edgerton",125 min,"The Green Knight,",https://www.imdb.com/title/tt9243804/,30 July 2021 (USA),David Lowery
"USA,UK","Sarah Smith,Jean-Philippe Vine,1 more credit","Animation,Adventure,Comedy",English,,,"Ron's Gone Wrong,",https://www.imdb.com/title/tt7504818/,,"Peter Baynham,Sarah Smith"
USA,Guillermo del Toro,"Drama,Mystery,Thriller",English,"Cate Blanchett,Bradley Cooper,David Strathairn",,"Nightmare Alley,",https://www.imdb.com/title/tt7740496/,3 December 2021 (USA),"William Lindsay Gresham,Kim Morgan"
USA,"Andrew Erwin,Jon Erwin",Drama,English,"Zachary Levi,Anna Paquin,Virginia Madsen",,"American Underdog: The Kurt Warner Story,",https://www.imdb.com/title/tt11729298/,10 December 2021 (USA),"David Aaron Cohen,Jon Erwin"
